,track_name,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mood
spotify:track:1QRJb5VY3sIkCKcTuIKCrk,Rubbin off the Paint,spotify:artist:3gGUMEwIX6XodWsYEvKSal,YBN Nahmir,alabama rap,70,2383993,0.596,0.699,1,-8.709,1,0.348,0.00582,0.0,0.174,0.435,108.031,5,angry
spotify:track:71DReAbBp5AfCwCqakfqmQ,Middle of the Mall,spotify:artist:4nXOZlYoAD67hF9aUEncMY,Pouya,dark trap,74,708224,0.8,0.696,6,-5.354,0,0.393,0.0818,0.0,0.121,0.628,159.953,4,angry
spotify:track:5KhFaq45chTw8RGfWo8T8J,BILLY,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,emo rap,80,6142014,0.764,0.711,4,-3.818,0,0.288,0.175,0.0,0.105,0.774,90.076,4,angry
spotify:track:2ooF4088y5L72c4YTEJQoB,YuNg BrAtZ,spotify:artist:15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,emo rap,92,23999047,0.755,0.695,9,-5.963,1,0.26,0.0179,0.0,0.107,0.493,128.063,4,angry
spotify:track:6l8McJSn8BgCTTewysSusR,Fingers Blue (feat. Travis Scott),spotify:artist:21dooacK2WGBB5amYvKyfM,Smokepurpp,melodic rap,69,2126544,0.879,0.882,0,-5.47,0,0.239,0.34,1.58e-05,0.135,0.837,130.033,4,angry
spotify:track:3cYNoOv4SEWPIZmh34JrUv,Pray (feat. A$AP Ferg),spotify:artist:21dooacK2WGBB5amYvKyfM,Smokepurpp,melodic rap,69,2126544,0.752,0.491,1,-7.501,1,0.377,0.00738,0.0,0.111,0.136,160.048,4,angry
spotify:track:70nmZhHZLNVYWP4NON41Zw,Runnin' Thru The 7th With My Woadies,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,$uicideBoy$,dark trap,84,2845876,0.526,0.62,8,-7.244,0,0.281,0.067,0.000241,0.139,0.187,112.027,4,angry
spotify:track:4ZJybqsKttqesp90q6KBtn,Bail Out,spotify:artist:3gGUMEwIX6XodWsYEvKSal,YBN Nahmir,alabama rap,70,2383993,0.623,0.503,10,-13.541,0,0.259,0.00611,0.0,0.0715,0.302,67.378,4,angry
spotify:track:5lZsh9Qf7CbHI9Fcc7Zcsq,Bounce Out With That,spotify:artist:3gGUMEwIX6XodWsYEvKSal,YBN Nahmir,alabama rap,70,2383993,0.865,0.652,8,-8.218,1,0.105,0.037,0.0,0.0925,0.372,94.946,4,angry
spotify:track:3ZhTT6yjZwpPph5MIJ53XY,Red Roses (feat. Landon Cube),spotify:artist:7d3WFRME3vBY2cgoP38RDo,Lil Skies,melodic rap,79,4566249,0.691,0.683,0,-7.335,1,0.0954,0.547,0.0,0.221,0.456,140.002,4,angry
spotify:track:7EoSDrwBPUBeBEORrpvgko,Water,spotify:artist:3Fdm9TFJQCLmC3AWMuGExi,Ugly God,meme rap,60,1865861,0.816,0.245,0,-15.617,0,0.414,0.616,0.000813,0.127,0.187,140.04,4,angry
spotify:track:6IgtGf4ZmG3OPLmE1PFXrr,Fuck Ugly God,spotify:artist:3Fdm9TFJQCLmC3AWMuGExi,Ugly God,meme rap,60,1865861,0.878,0.233,5,-11.311,0,0.603,0.242,0.0,0.0817,0.135,134.956,4,angry
spotify:track:0ZWvo02qugJAKf2HjdD4fT,BUBA,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,emo rap,80,6142014,0.731,0.851,9,-3.58,1,0.21,0.00354,0.0,0.38,0.391,132.06,4,angry
spotify:track:7ogw16se7hyM8VgdSAPAEn,FUCKSHIT,spotify:artist:2rGz2sXoY0L69GeP0bAxP0,ACOT,meme rap,49,10914,0.746,0.124,0,-17.283,1,0.515,0.681,0.00814,0.15,0.225,125.063,4,angry
spotify:track:1QENpJfdtfdTTaRCwOzGZs,ROACH,spotify:artist:2rGz2sXoY0L69GeP0bAxP0,ACOT,meme rap,49,10914,0.524,0.557,1,-7.855,1,0.106,0.122,0.00747,0.473,0.377,125.351,4,angry
spotify:track:62RIdivgQgdMmD4V6Exok9,Where's My Drink?,spotify:artist:30BRtSyKNMNh54iOfpyf2J,Soloin,na,18,1414,0.845,0.576,1,-8.676,0,0.355,0.0273,0.0,0.256,0.626,160.102,4,angry
spotify:track:3yPAJ7ovJx0V8LpHtSaHyU,Pills,spotify:artist:0DbiuMb5KGlb9RUzH2QtAY,Z.J.,na,11,775,0.88,0.821,9,-6.988,1,0.457,0.00223,9.33e-06,0.137,0.107,145.133,4,angry
spotify:track:14AaZFCyy2JAX3OMt84Avg,Onnat Fuck Shit,spotify:artist:2pqahFVXpeDxuOnv1AFyFz,Bandingo,meme rap,5,650,0.767,0.832,6,-6.875,0,0.291,0.0158,0.0,0.324,0.794,149.963,4,angry
spotify:track:6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,Migos,atl hip hop,81,11066133,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,4,angry
spotify:track:4fC5jw1TI59GH1emfN1wtk,Poles 1469,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,melodic rap,88,5692819,0.741,0.761,4,-3.871,0,0.0512,0.235,0.0,0.119,0.217,81.543,4,angry
spotify:track:16OlG0GeSYrJZQpDd16i79,Planet Shrooms,spotify:artist:1ng2cH6hJIOSYxQMk6pEux,Woodie Smalls,belgian hip hop,45,40051,0.529,0.788,4,-7.205,0,0.39,0.301,0.0,0.417,0.408,111.772,3,angry
spotify:track:1j6CwAJS2PTMvDYp33zpWP,H2O,spotify:artist:15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,emo rap,92,23999047,0.717,0.608,0,-7.826,1,0.31,0.394,0.0,0.351,0.827,139.783,4,angry
spotify:track:2sYh0N1gY0CUQMIKpz9JsJ,Nuketown - Bonus,spotify:artist:2rWCIhENZyPVDAeFC0ESWN,Josh A,emo rap,74,359381,0.635,0.616,2,-6.253,1,0.217,0.258,5.42e-05,0.162,0.0446,139.902,4,angry
spotify:track:6g37VtYoLVlEkjQpamW1xq,Undecided,spotify:artist:4nXOZlYoAD67hF9aUEncMY,Pouya,dark trap,74,708224,0.754,0.84,9,-5.111,1,0.313,0.0548,1.36e-05,0.15,0.0397,144.991,4,angry
spotify:track:4zIMuGSdbGTahvHB7CloVR,Wassup Bro!,spotify:artist:5bCwYvvFvWOEXtO9W7p0Iv,Craig Xen,dark trap,61,163774,0.81,0.585,9,-7.037,0,0.288,0.248,0.0115,0.0959,0.281,139.968,4,angry
spotify:track:7CCeIjWzStJl5qghJS6UA6,Fuck Shit,spotify:artist:47yRnoOUz46ZKr9W3mKn5Z,Lil Toe,dark trap,55,63827,0.735,0.69,6,-6.031,1,0.133,0.247,0.0,0.108,0.4,159.969,4,angry
spotify:track:4SZ3B3y1TbwTK4OIXMOVEy,Boyz-N-The-Hood,spotify:artist:7B4hKK0S9QYnaoqa9OuwgX,Eazy-E,g funk,65,2884205,0.792,0.503,8,-8.359,1,0.276,0.0198,0.0,0.347,0.663,87.847,4,angry
spotify:track:5MIZIKnTTsZS8bAY5O2Vee,"burrrrrr ft. bbno$, trippythakid, yung bambi",spotify:artist:1QmtDR2wBkvzxBB188KDGe,Lzr,na,35,1622,0.908,0.567,1,-6.181,0,0.285,0.0149,6.98e-06,0.0749,0.256,136.017,4,angry
spotify:track:5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),spotify:artist:2hWs22BmQkK4czFtDLnar2,Rob $tone,san diego rap,64,202358,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,4,angry
spotify:track:1KT71DxLFCSIeva1zgeSu9,Good Fellas (feat. Pouya & Shakewell),spotify:artist:5bCwYvvFvWOEXtO9W7p0Iv,Craig Xen,dark trap,61,163774,0.911,0.528,9,-6.998,1,0.0965,0.00568,0.0,0.0874,0.297,137.941,4,angry
spotify:track:207LWEX5HIZlXTloGeMSUh,Cheap Thrills,spotify:artist:10AY17ALos2o3akPqrPydw,Father,underground hip hop,51,97865,0.944,0.432,11,-11.542,0,0.334,0.147,0.0,0.112,0.426,107.945,4,angry
spotify:track:3xnbJVx4QqsOYip8Cn6OrN,Crunch Time,spotify:artist:6TxY5T8v9RjF7Ry4XQvWT5,Chris Travis,dark trap,55,173413,0.844,0.709,4,-1.322,0,0.0544,0.304,0.0,0.517,0.101,109.959,4,angry
spotify:track:4MrtFJI2CDTRJs9FXpBdGo,Fuck A Swisher,spotify:artist:21dooacK2WGBB5amYvKyfM,Smokepurpp,melodic rap,69,2126544,0.89,0.422,7,-7.894,0,0.113,0.235,0.0,0.0925,0.374,129.998,4,angry
spotify:track:0Gdn7Fx2WpgNPTeObqJL0j,Wulf Wood,spotify:artist:3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,dark trap,67,329894,0.891,0.374,0,-9.409,1,0.0423,0.0937,0.0039,0.107,0.475,113.645,4,angry
spotify:track:2KmFKaUoWcteeDobI68uka,Thunder Man,spotify:artist:3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,dark trap,67,329894,0.924,0.55,2,-6.402,1,0.252,0.00213,4.34e-05,0.101,0.298,139.992,4,angry
spotify:track:33kB5gz4gzOEZVkuWKHylS,Thick Niggas and Anime Tiddies,spotify:artist:4o3KrdNrP5TODhuOesqHfR,Dbangz,meme rap,58,228985,0.897,0.449,1,-9.295,1,0.429,0.221,0.0,0.103,0.707,135.97,4,angry
spotify:track:1D23GEeQ32aqLw5ZnY3Ivp,COOLEST MONKEY IN THE JUNGLE,spotify:artist:2rhFzFmezpnW82MNqEKVry,Ski Mask The Slump God,miami hip hop,80,3794788,0.893,0.676,9,-4.867,0,0.227,0.324,0.0,0.0968,0.804,125.923,4,angry
spotify:track:0ePSxCJgI6ePsuX0FmjmSP,Esc,spotify:artist:18DJOzfi4ZmiHvTFhqxyoj,Addivt,na,37,4666,0.779,0.392,1,-13.395,1,0.0522,0.0569,0.000456,0.147,0.526,92.127,4,angry
spotify:track:2YCCy7Goytf4anieGkEk8Q,Helpless,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,atl hip hop,82,3619168,0.769,0.562,11,-7.237,1,0.28,0.242,0.00101,0.0852,0.525,170.082,4,angry
spotify:track:0gdGdUIIXUH3WSLGeXXWw0,Elementary,spotify:artist:3wyVrVrFCkukjdVIdirGVY,Lil Pump,emo rap,75,7411432,0.654,0.605,7,-7.2,1,0.299,0.595,0.0,0.371,0.759,130.396,4,angry
spotify:track:5v7kaZNsnyByrSJOfO8gKq,Skrt,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,Kodak Black,florida rap,82,6519333,0.901,0.352,2,-10.038,1,0.0916,0.585,0.0,0.122,0.199,111.065,4,angry
spotify:track:6E1tm7JZleBnOzFrwv6HfP,Worst of Times,spotify:artist:4pVWSc4qEC6U3yIjQleh90,Trash Talk,black punk,36,45256,0.608,0.916,8,-6.387,1,0.0541,0.000521,0.876,0.0437,0.533,132.032,4,angry
spotify:track:1ELLNBNRwyFiYx2GYTVidc,Consider,spotify:artist:1Gi5tHYi0ptGG0G3tX9PkU,Gouge Away,diy emo,36,25840,0.197,0.94,8,-5.44,1,0.0759,2.21e-05,0.242,0.131,0.205,129.871,4,angry
spotify:track:4hrAATDrRxSoOwM8stEENa,Bliss Out,spotify:artist:6q4AmzK3GzCuEzkurnYuEQ,Drug Church,alternative emo,41,29090,0.506,0.986,9,-3.118,1,0.124,0.00464,4.98e-05,0.311,0.252,135.549,4,angry
