,track_uri,track_name,mood,artist_uri,artist_name,genre,popularity,followers,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
spotify:track:5nCrHjb9e3zWDL6Svvxxwl,spotify:track:5nCrHjb9e3zWDL6Svvxxwl,Piano In The Sky,sad,spotify:artist:3XC57xz74X3xUi1hv4mge1,Winona Oak,pop,64,70693,0.5,0.28,7,-10.764,0,0.0404,0.88,2.6e-06,0.102,0.0832,92.457,4
spotify:track:75ZvA4QfFiZvzhj2xkaWAh,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,sad,spotify:artist:246dkjvS1zLTtiykXe5h60,Post Malone,dfw rap,92,29973493,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,4
spotify:track:6CcJMwBtXByIz4zQLzFkKc,spotify:track:6CcJMwBtXByIz4zQLzFkKc,i love you,sad,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,electropop,92,36527428,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,4
spotify:track:68PGR3HZqSv7TQOhmoimzC,spotify:track:68PGR3HZqSv7TQOhmoimzC,Steady Now,sad,spotify:artist:1XplrA4Q9dPFcayYbJqX6K,nilu,na,57,10318,0.225,0.221,9,-13.079,1,0.0379,0.714,0.0,0.212,0.187,87.225,4
spotify:track:6SHuwpzmG1QRujJggCOiOP,spotify:track:6SHuwpzmG1QRujJggCOiOP,Lucky,sad,spotify:artist:3zOUpziwcfY2bCh4VyJ4Am,Njomza,na,52,32795,0.5,0.221,4,-10.746,1,0.048,0.925,4.74e-05,0.1,0.194,79.699,4
spotify:track:5c1gKtJkR8dPjki25BU7Qz,spotify:track:5c1gKtJkR8dPjki25BU7Qz,hurt so bad,sad,spotify:artist:49jTY62Cpw3RYo4dLuG43W,Cian Ducrot,irish pop,43,20643,0.461,0.452,2,-6.529,1,0.0366,0.337,0.0,0.269,0.282,168.074,3
spotify:track:4AuYFl8wn6502LiHDTr0C9,spotify:track:4AuYFl8wn6502LiHDTr0C9,tear myself apart,sad,spotify:artist:45dkTj5sMRSjrmBSBeiHym,Tate McRae,dance pop,83,988555,0.488,0.498,9,-6.895,0,0.0274,0.212,0.0,0.117,0.324,85.985,4
spotify:track:3i4CFXy3ezQZEt8V0GA7Uh,spotify:track:3i4CFXy3ezQZEt8V0GA7Uh,Drop Dead,sad,spotify:artist:0nnYdIpahs41QiZ9MWp5Wx,Holly Humberstone,modern alternative pop,61,41931,0.577,0.393,0,-7.322,1,0.038,0.586,0.000181,0.0927,0.132,89.858,4
spotify:track:3iPJ039BamX9MIVZQWEnnL,spotify:track:3iPJ039BamX9MIVZQWEnnL,House With No Mirrors,sad,spotify:artist:4xnihxcoXWK3UqryOSnbw5,Sasha Sloan,electropop,77,700521,0.72,0.408,2,-11.725,1,0.0498,0.832,2.61e-06,0.0992,0.341,121.972,4
spotify:track:58mYapf9OjU4waibyphRhP,spotify:track:58mYapf9OjU4waibyphRhP,lightning,sad,spotify:artist:1ZwhhTSUPr7EBZHd1GjOT7,mehro,na,49,40148,0.602,0.528,3,-7.709,0,0.0304,0.849,4.1e-06,0.129,0.322,149.951,4
spotify:track:65tCdopbRv73fYFOL40ViN,spotify:track:65tCdopbRv73fYFOL40ViN,i'm lonely,sad,spotify:artist:3cdI6SvJ24KsOcvYyBwH9c,Luz,indie anthem-folk,55,20519,0.504,0.214,5,-10.747,1,0.0368,0.841,0.0,0.113,0.25,108.677,4
spotify:track:2v8GT5HHcqFaTXS2xijw4r,spotify:track:2v8GT5HHcqFaTXS2xijw4r,Changes,sad,spotify:artist:1adGvsK8A0XG2D18ufk7fZ,Hayd,na,58,88783,0.648,0.115,6,-17.133,1,0.0445,0.939,3.88e-05,0.11,0.29,119.967,4
spotify:track:74I76sDq0rPJV3FP4fq44d,spotify:track:74I76sDq0rPJV3FP4fq44d,Overused (feat. gnash),sad,spotify:artist:6RHKEd9dpzQ4c09x8Zdaxu,Clara Mae,dance pop,64,145086,0.503,0.525,0,-7.79,1,0.134,0.647,0.0,0.104,0.681,115.6,4
spotify:track:0s3HjSvDdHinLIZ7NqyEuq,spotify:track:0s3HjSvDdHinLIZ7NqyEuq,Closing Doors (ft. Astrid S),sad,spotify:artist:3btNpz9NEJ8ml352B8S7Qr,Harry Hudson,indie cafe pop,59,55436,0.433,0.432,7,-8.293,1,0.0393,0.855,0.0,0.16,0.143,129.949,1
spotify:track:1iS5OWhDZQsiBtsI5AQ8SQ,spotify:track:1iS5OWhDZQsiBtsI5AQ8SQ,Love You From a Distance,sad,spotify:artist:1Zi1c8sWZTy5rDiN3lAuEj,Ashley Kutcher,na,52,17416,0.333,0.538,4,-8.653,1,0.0325,0.557,0.0,0.0977,0.63,149.377,4
spotify:track:11MNmZqWEYAzIbrOQGSTCE,spotify:track:11MNmZqWEYAzIbrOQGSTCE,i don't think i love you anymore - Recorded at Electric Lady Studios NYC,sad,spotify:artist:0duLKMlcwhyZgqu8zSSjBp,Alaina Castillo,chill r&b,61,76583,0.287,0.345,9,-7.827,0,0.0296,0.756,0.0,0.239,0.309,136.126,3
spotify:track:6tNgjrWXWHx2zR52Q6qCLG,spotify:track:6tNgjrWXWHx2zR52Q6qCLG,you were good to me,sad,spotify:artist:3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,electropop,80,1329154,0.46,0.0834,2,-15.095,1,0.0433,0.909,1.98e-05,0.112,0.21,98.329,4
spotify:track:6PowfeWOvFBlueUpvct3HI,spotify:track:6PowfeWOvFBlueUpvct3HI,"Dear First Love,",sad,spotify:artist:5MjcGshMggPgIHinIUDaX0,LØLØ,canadian pop,48,9322,0.524,0.323,10,-6.06,1,0.0262,0.25,7.57e-05,0.107,0.236,79.787,4
spotify:track:4PV0uE5pZSh44E3NqNNDEH,spotify:track:4PV0uE5pZSh44E3NqNNDEH,Selfish,sad,spotify:artist:2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,dance pop,81,2522381,0.375,0.461,9,-6.202,1,0.0279,0.627,0.0,0.386,0.233,75.217,4
spotify:track:2wn3z2wX30ISmvvuqe4i8m,spotify:track:2wn3z2wX30ISmvvuqe4i8m,older,sad,spotify:artist:3qDMrpZHtZEtVl5i1l7hP3,Nightly,electropop,58,73308,0.574,0.338,6,-8.598,1,0.0248,0.717,0.0,0.209,0.33,78.394,4
spotify:track:3Cwx1w1QYOuMOlx7xDmLcQ,spotify:track:3Cwx1w1QYOuMOlx7xDmLcQ,Can't Be Happy All The Time,sad,spotify:artist:2NjfBq1NflQcKSeiDooVjY,Tones And I,australian pop,81,2444187,0.463,0.24,7,-6.448,1,0.0606,0.541,0.0,0.165,0.245,84.175,3
spotify:track:1dBdrCDwt8Fxheqzb8xXDt,spotify:track:1dBdrCDwt8Fxheqzb8xXDt,Zach's Ballad,sad,spotify:artist:4K9aclpXgCPNFGEqRlFPal,Peter Manos,indie cafe pop,57,60696,0.676,0.17,9,-13.2,1,0.0335,0.911,0.000242,0.119,0.285,110.008,3
spotify:track:2rPe95TgVgmyQokYu1FQ2K,spotify:track:2rPe95TgVgmyQokYu1FQ2K,Out of Love,sad,spotify:artist:4K9aclpXgCPNFGEqRlFPal,Peter Manos,indie cafe pop,57,60696,0.628,0.187,1,-16.576,1,0.0427,0.949,0.0513,0.0886,0.266,120.063,3
spotify:track:2MnxmLcFD2oezbJgBDw1y2,spotify:track:2MnxmLcFD2oezbJgBDw1y2,Don't Worry,sad,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,The 1975,modern alternative rock,79,4575556,0.348,0.0934,1,-12.375,1,0.0388,0.924,0.0,0.114,0.356,90.766,1
spotify:track:1qFMIjTe9esCDiytqUY19t,spotify:track:1qFMIjTe9esCDiytqUY19t,i can't breathe,sad,spotify:artist:1o2NpYGqHiCq7FoiYdyd1x,Bea Miller,dance pop,77,2099678,0.347,0.209,11,-11.152,1,0.0273,0.893,0.00287,0.138,0.0735,82.878,4
spotify:track:1v6svH1Fyx9C1nIt1mA2DT,spotify:track:1v6svH1Fyx9C1nIt1mA2DT,All I Want,sad,spotify:artist:1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,70,189213,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,3
spotify:track:3xijzRdlKYMuEQDVZTYlg9,spotify:track:3xijzRdlKYMuEQDVZTYlg9,Sometimes Things Just Fall Apart,sad,spotify:artist:3VJTtTgub426X1NuzcyAOb,Rence,pop rap,53,15781,0.697,0.53,0,-7.474,1,0.0413,0.253,0.0,0.598,0.408,117.971,4
spotify:track:7qEHsqek33rTcFNT9PFqLf,spotify:track:7qEHsqek33rTcFNT9PFqLf,Someone You Loved,sad,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,pop,86,6152924,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4
spotify:track:2k9N4caeCIJLOWwWwssrEM,spotify:track:2k9N4caeCIJLOWwWwssrEM,Easily,sad,spotify:artist:0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,indie cafe pop,69,477497,0.772,0.256,7,-8.545,0,0.0481,0.491,0.00612,0.144,0.357,118.902,3
spotify:track:5a6pdCHlWS2ekOOQ70QnAr,spotify:track:5a6pdCHlWS2ekOOQ70QnAr,July,sad,spotify:artist:55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,dance pop,78,765758,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,4
spotify:track:7EurJLsr9GPEp8Aq5LJvOK,spotify:track:7EurJLsr9GPEp8Aq5LJvOK,Somewhere in Ann Arbor,sad,spotify:artist:2jHp7gQArCQrlMvdrIVFCg,Anson Seabra,indie cafe pop,72,486408,0.566,0.153,1,-14.133,1,0.0399,0.932,2.59e-06,0.0946,0.399,90.493,4
